faixa_idade,genero,raca,regiao,escolaridade,situacao_trabalho,cargo,nivel,salario,tempo_experiencia_dados,tempo_experiencia_ti,satisfacao,salario_num,latitude,longitude
17-21,Masculino,Branca,Sul,Estudante de Graduação,Estagiário,Analista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,1500,-27.0,-51.0
17-21,Masculino,Branca,Sul,Estudante de Graduação,Estagiário,Analista de BI,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Menos de 1 ano,True,500,-27.0,-51.0
17-21,Masculino,Parda,Sudeste,Estudante de Graduação,Empregado (CLT),Outro,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,1500,-20.0,-44.0
17-21,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,1500,-20.0,-44.0
17-21,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Desenvolvedor,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Menos de 1 ano,True,1500,-20.0,-44.0
17-21,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
17-21,Masculino,Parda,Sudeste,Estudante de Graduação,Estagiário,Outro,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,1500,-20.0,-44.0
17-21,Masculino,Parda,Nordeste,Não tenho graduação formal,Estagiário,Outro,Júnior,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,500,-8.0,-38.0
17-21,Masculino,Parda,Sudeste,Estudante de Graduação,Empreendedor ou Empregado (CNPJ),Desenvolvedor,Pleno,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,de 3 a 4 anos,False,3500,-20.0,-44.0
17-21,Masculino,Branca,Sudeste,Graduação/Bacharelado,Estagiário,Desenvolvedor,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,False,2500,-20.0,-44.0
17-21,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Outro,Júnior,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,500,-20.0,-44.0
17-21,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Engenheiro de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,3500,-27.0,-51.0
17-21,Masculino,Preta,Sudeste,Estudante de Graduação,Empregado (CLT),Analytics Engineer,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Menos de 1 ano,True,5000,-20.0,-44.0
